Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
khao	692	42.2653	638	0.1585	420	34.5543	397	0.0474	499	28.4088	480	0.1688
chém	692	42.2653	619	0.1538	1383	113.7824	1276	0.1523	606	34.5005	498	0.1751
viêm	690	42.1431	553	0.1374	215	17.6885	209	0.0249	1519	86.4790	1060	0.3727
thề	689	42.0821	622	0.1545	1309	107.6943	1272	0.1518	218	12.4111	200	0.0703
thiền	689	42.0821	492	0.1222	34	2.7973	33	0.0039	160	9.1090	127	0.0447
khiêm	689	42.0821	594	0.1476	60	4.9363	59	0.0070	458	26.0746	427	0.1501
tơ	687	41.9599	626	0.1555	246	20.2390	243	0.0290	330	18.7874	276	0.0970
phường	687	41.9599	588	0.1461	102	8.3918	101	0.0121	3402	193.6811	2626	0.9233
bùng	687	41.9599	657	0.1632	455	37.4338	431	0.0514	909	51.7508	886	0.3115
ao	687	41.9599	580	0.1441	1009	83.0126	906	0.1081	459	26.1316	387	0.1361
săn	686	41.8988	608	0.1511	140	11.5181	130	0.0155	1038	59.0949	912	0.3207
mụ	684	41.7767	410	0.1019	1388	114.1938	1240	0.1480	113	6.4333	71	0.0250
cạn	684	41.7767	661	0.1642	165	13.5749	163	0.0194	523	29.7752	494	0.1737
ốc	683	41.7156	583	0.1448	273	22.4603	262	0.0313	821	46.7408	668	0.2349
thiêng	683	41.7156	620	0.1540	155	12.7522	154	0.0184	455	25.9038	428	0.1505
rắc	683	41.7156	659	0.1637	282	23.2008	266	0.0317	531	30.2306	511	0.1797
uyển	682	41.6545	570	0.1416	4	0.3291	4	0.0005	86	4.8961	83	0.0292
xăng	679	41.4713	455	0.1130	282	23.2008	255	0.0304	4462	254.0285	2435	0.8561
tháo	679	41.4713	633	0.1573	204	16.7835	186	0.0222	1020	58.0702	948	0.3333
khép	679	41.4713	663	0.1647	75	6.1704	73	0.0087	570	32.4510	562	0.1976
hoạ	679	41.4713	583	0.1448	37	3.0441	37	0.0044	324	18.4458	256	0.0900
tiềm	677	41.3491	633	0.1573	113	9.2968	111	0.0132	1505	85.6820	1361	0.4785
khê	677	41.3491	565	0.1404	25	2.0568	25	0.0030	347	19.7552	291	0.1023
luyến	676	41.2881	630	0.1565	96	7.8981	95	0.0113	117	6.6610	111	0.0390
há	676	41.2881	608	0.1511	3858	317.4061	1935	0.2309	65	3.7005	56	0.0197
thắc	675	41.2270	648	0.1610	400	32.9089	397	0.0474	488	27.7826	481	0.1691
trạm	674	41.1659	565	0.1404	51	4.1959	49	0.0058	1400	79.7041	1059	0.3723
ngõ	672	41.0438	610	0.1515	161	13.2458	147	0.0175	1084	61.7138	835	0.2936
bọc	671	40.9827	628	0.1560	127	10.4486	122	0.0146	620	35.2975	580	0.2039
vứt	670	40.9216	631	0.1568	608	50.0215	590	0.0704	391	22.2602	373	0.1311
trâu	669	40.8605	515	0.1279	359	29.5357	337	0.0402	511	29.0920	357	0.1255
bơi	669	40.8605	491	0.1220	625	51.4201	545	0.0650	766	43.6096	575	0.2022
ẩm	668	40.7995	635	0.1578	206	16.9481	198	0.0236	923	52.5478	802	0.2820
tiếu	668	40.7995	547	0.1359	70	5.7591	64	0.0076	94	5.3516	84	0.0295
nốt	667	40.7384	554	0.1376	1224	100.7012	1205	0.1438	415	23.6266	355	0.1248
xảo	665	40.6162	632	0.1570	50	4.1136	49	0.0058	246	14.0052	235	0.0826
rỉ	665	40.6162	648	0.1610	94	7.7336	91	0.0109	596	33.9312	523	0.1839
dưa	665	40.6162	542	0.1347	396	32.5798	361	0.0431	650	37.0055	440	0.1547
phẫn	663	40.4941	650	0.1615	36	2.9618	35	0.0042	185	10.5323	183	0.0643
lờ	661	40.3719	629	0.1563	587	48.2938	559	0.0667	232	13.2081	220	0.0774
hông	661	40.3719	599	0.1488	1559	128.2623	1492	0.1780	201	11.4432	189	0.0665
khuyết	660	40.3108	590	0.1466	59	4.8541	55	0.0066	888	50.5552	733	0.2577
chói	660	40.3108	630	0.1565	185	15.2204	179	0.0214	162	9.2229	156	0.0548
bộc	660	40.3108	625	0.1553	125	10.2840	125	0.0149	597	33.9881	590	0.2074
bền	660	40.3108	625	0.1553	119	9.7904	117	0.0140	1384	78.7932	1308	0.4599
mét	657	40.1276	544	0.1352	94	7.7336	91	0.0109	858	48.8473	744	0.2616
đầm	656	40.0665	575	0.1429	150	12.3408	147	0.0175	790	44.9759	646	0.2271
ga	656	40.0665	530	0.1317	544	44.7561	515	0.0615	1341	76.3452	1061	0.3730
xao	653	39.8833	630	0.1565	1596	131.3064	1522	0.1816	479	27.2702	476	0.1674
hoành	653	39.8833	612	0.1520	532	43.7688	527	0.0629	667	37.9733	646	0.2271
bèn	653	39.8833	626	0.1555	13	1.0695	13	0.0016	136	7.7427	132	0.0464
bái	652	39.8222	594	0.1476	284	23.3653	263	0.0314	307	17.4780	264	0.0928
ưa	651	39.7611	614	0.1525	666	54.7933	648	0.0773	631	35.9238	611	0.2148
khoan	651	39.7611	603	0.1498	322	26.4916	314	0.0375	431	24.5375	361	0.1269
í	650	39.7001	534	0.1327	7949	653.9817	7283	0.8690	54	3.0743	51	0.0179
ngắt	650	39.7001	620	0.1540	163	13.4104	163	0.0194	243	13.8344	223	0.0784
tát	649	39.6390	563	0.1399	890	73.2223	772	0.0921	296	16.8517	277	0.0974
quỹ	649	39.6390	529	0.1314	107	8.8031	102	0.0122	3089	175.8615	2394	0.8417
lười	649	39.6390	604	0.1501	2062	169.6453	1974	0.2355	182	10.3615	177	0.0622
xíu	647	39.5168	605	0.1503	662	54.4642	648	0.0773	202	11.5002	196	0.0689
bỏng	647	39.5168	619	0.1538	258	21.2262	251	0.0299	888	50.5552	792	0.2785
khương	645	39.3947	418	0.1038	40	3.2909	39	0.0047	445	25.3345	315	0.1108
dội	645	39.3947	629	0.1563	316	25.9980	313	0.0373	722	41.1046	711	0.2500
khơi	644	39.3336	600	0.1491	125	10.2840	111	0.0132	740	42.1293	698	0.2454
quãng	642	39.2114	599	0.1488	75	6.1704	75	0.0089	630	35.8669	609	0.2141
cằm	642	39.2114	631	0.1568	180	14.8090	179	0.0214	84	4.7822	78	0.0274
vờ	641	39.1504	619	0.1538	451	37.1048	421	0.0502	223	12.6957	210	0.0738
ngẫm	641	39.1504	621	0.1543	158	12.9990	153	0.0183	199	11.3294	197	0.0693
lột	641	39.1504	568	0.1411	346	28.4662	326	0.0389	410	23.3419	381	0.1340
ổ	640	39.0893	491	0.1220	510	41.9588	480	0.0573	764	43.4957	641	0.2254
bệ	640	39.0893	500	0.1242	22	1.8100	22	0.0026	212	12.0695	191	0.0672
